Model,Alpha,Train_MSE,Test_MSE,Train_R2,Test_R2
OLS,0.0,23.815267,29.900304,0.999682,0.999597
Ridge,0.001,23.815268,29.900654,0.999682,0.999597
Ridge,0.01,23.815279,29.903818,0.999682,0.999597
Ridge,0.1,23.816411,29.936466,0.999682,0.999597
Ridge,1.0,23.929406,30.364154,0.999680,0.999591
Ridge,10.0,34.978565,44.513055,0.999532,0.999400
Ridge,100.0,929.345476,964.743469,0.987578,0.986998
Ridge,1000.0,22850.286264,22850.253881,0.694570,0.692043
Lasso,0.001,23.815273,29.901937,0.999682,0.999597
Lasso,0.01,23.815692,29.910336,0.999682,0.999597
Lasso,0.1,23.855048,29.978683,0.999681,0.999596
Lasso,1.0,27.790606,34.092769,0.999629,0.999541
Lasso,10.0,421.346425,418.294920,0.994368,0.994363
Lasso,100.0,20347.473950,20154.552549,0.728024,0.728373
Lasso,1000.0,74813.455929,74199.637627,0.000000,-0.000003
